"","country","code","Gender","Age","Household.Income","mean_rating"
"258","Brazil","BRA","Female","30-44",NA,3.54545454545455
"259","Brazil","BRA","Female","45-60","$0 - $24,999",4
"260","Brazil","BRA","Female","45-60","$100,000 - $149,999",3.5
"261","Brazil","BRA","Female","45-60","$150,000+",3.66666666666667
"262","Brazil","BRA","Female","45-60","$25,000 - $49,999",3.33333333333333
"263","Brazil","BRA","Female","45-60","$50,000 - $99,999",3.66666666666667
"264","Brazil","BRA","Female","45-60",NA,3.60869565217391
"265","Brazil","BRA","Male","> 60","$0 - $24,999",3.5
"266","Brazil","BRA","Male","> 60","$100,000 - $149,999",3.38461538461538
"267","Brazil","BRA","Male","> 60","$150,000+",3.46153846153846
"268","Brazil","BRA","Male","> 60","$25,000 - $49,999",3.5
"269","Brazil","BRA","Male","> 60","$50,000 - $99,999",3.1875
"270","Brazil","BRA","Male","> 60",NA,4.125
"271","Brazil","BRA","Male","18-29","$0 - $24,999",3.75
"272","Brazil","BRA","Male","18-29","$100,000 - $149,999",3.5
"273","Brazil","BRA","Male","18-29","$150,000+",3.16666666666667
"274","Brazil","BRA","Male","18-29","$25,000 - $49,999",3.54545454545455
"275","Brazil","BRA","Male","18-29","$50,000 - $99,999",3.77777777777778
"276","Brazil","BRA","Male","18-29",NA,3.875
"277","Brazil","BRA","Male","30-44","$0 - $24,999",3.33333333333333
"278","Brazil","BRA","Male","30-44","$100,000 - $149,999",3.63636363636364
"279","Brazil","BRA","Male","30-44","$150,000+",3.88888888888889
"280","Brazil","BRA","Male","30-44","$25,000 - $49,999",4.0625
"281","Brazil","BRA","Male","30-44","$50,000 - $99,999",3.62068965517241
"282","Brazil","BRA","Male","30-44",NA,3.375
"283","Brazil","BRA","Male","45-60","$0 - $24,999",4
"284","Brazil","BRA","Male","45-60","$100,000 - $149,999",3.66666666666667
"285","Brazil","BRA","Male","45-60","$150,000+",3.875
"286","Brazil","BRA","Male","45-60","$25,000 - $49,999",3.61538461538462
"287","Brazil","BRA","Male","45-60","$50,000 - $99,999",3.61538461538462
"288","Brazil","BRA","Male","45-60",NA,3.25
"289","Cameroon","CMR","Female","> 60","$0 - $24,999",NA
"290","Cameroon","CMR","Female","> 60","$100,000 - $149,999",NA
"291","Cameroon","CMR","Female","> 60","$150,000+",NA
"292","Cameroon","CMR","Female","> 60","$25,000 - $49,999",2.8
"293","Cameroon","CMR","Female","> 60","$50,000 - $99,999",3
"294","Cameroon","CMR","Female","> 60",NA,3.75
"295","Cameroon","CMR","Female","18-29","$0 - $24,999",3
"296","Cameroon","CMR","Female","18-29","$100,000 - $149,999",NA
"297","Cameroon","CMR","Female","18-29","$150,000+",4
"298","Cameroon","CMR","Female","18-29","$25,000 - $49,999",3.6
"299","Cameroon","CMR","Female","18-29","$50,000 - $99,999",3
"300","Cameroon","CMR","Female","18-29",NA,1
"301","Cameroon","CMR","Female","30-44","$0 - $24,999",4
"302","Cameroon","CMR","Female","30-44","$100,000 - $149,999",3
"303","Cameroon","CMR","Female","30-44","$150,000+",3
"304","Cameroon","CMR","Female","30-44","$25,000 - $49,999",3.5
"305","Cameroon","CMR","Female","30-44","$50,000 - $99,999",2.66666666666667
"306","Cameroon","CMR","Female","30-44",NA,3.5
"307","Cameroon","CMR","Female","45-60","$0 - $24,999",NA
"308","Cameroon","CMR","Female","45-60","$100,000 - $149,999",3.5
"309","Cameroon","CMR","Female","45-60","$150,000+",3
"310","Cameroon","CMR","Female","45-60","$25,000 - $49,999",4
"311","Cameroon","CMR","Female","45-60","$50,000 - $99,999",2.8
"312","Cameroon","CMR","Female","45-60",NA,4.33333333333333
"313","Cameroon","CMR","Male","> 60","$0 - $24,999",3
"314","Cameroon","CMR","Male","> 60","$100,000 - $149,999",3
"315","Cameroon","CMR","Male","> 60","$150,000+",2.5
"316","Cameroon","CMR","Male","> 60","$25,000 - $49,999",2.66666666666667
"317","Cameroon","CMR","Male","> 60","$50,000 - $99,999",2.75
"318","Cameroon","CMR","Male","> 60",NA,2.5
"319","Cameroon","CMR","Male","18-29","$0 - $24,999",4
"320","Cameroon","CMR","Male","18-29","$100,000 - $149,999",1.66666666666667
"321","Cameroon","CMR","Male","18-29","$150,000+",3
"322","Cameroon","CMR","Male","18-29","$25,000 - $49,999",3.25
"323","Cameroon","CMR","Male","18-29","$50,000 - $99,999",1.5
"324","Cameroon","CMR","Male","18-29",NA,3.33333333333333
"325","Cameroon","CMR","Male","30-44","$0 - $24,999",NA
"326","Cameroon","CMR","Male","30-44","$100,000 - $149,999",3
"327","Cameroon","CMR","Male","30-44","$150,000+",4
"328","Cameroon","CMR","Male","30-44","$25,000 - $49,999",3.75
"329","Cameroon","CMR","Male","30-44","$50,000 - $99,999",3
"330","Cameroon","CMR","Male","30-44",NA,3.5
"331","Cameroon","CMR","Male","45-60","$0 - $24,999",3
"332","Cameroon","CMR","Male","45-60","$100,000 - $149,999",3.25
"333","Cameroon","CMR","Male","45-60","$150,000+",3.5
"334","Cameroon","CMR","Male","45-60","$25,000 - $49,999",2.5
"335","Cameroon","CMR","Male","45-60","$50,000 - $99,999",3
"336","Cameroon","CMR","Male","45-60",NA,3.75
"337","Chile","CHL","Female","> 60","$0 - $24,999",3
"338","Chile","CHL","Female","> 60","$100,000 - $149,999",3.4
"339","Chile","CHL","Female","> 60","$150,000+",3.5
"340","Chile","CHL","Female","> 60","$25,000 - $49,999",3.83333333333333
"341","Chile","CHL","Female","> 60","$50,000 - $99,999",3.46666666666667
"342","Chile","CHL","Female","> 60",NA,3.46153846153846
"343","Chile","CHL","Female","18-29","$0 - $24,999",3.42857142857143
"344","Chile","CHL","Female","18-29","$100,000 - $149,999",3.5
"345","Chile","CHL","Female","18-29","$150,000+",3
"346","Chile","CHL","Female","18-29","$25,000 - $49,999",3.41666666666667
"347","Chile","CHL","Female","18-29","$50,000 - $99,999",3.33333333333333
"348","Chile","CHL","Female","18-29",NA,3.57142857142857
"349","Chile","CHL","Female","30-44","$0 - $24,999",4.16666666666667
"350","Chile","CHL","Female","30-44","$100,000 - $149,999",3.33333333333333
"351","Chile","CHL","Female","30-44","$150,000+",3.8
"352","Chile","CHL","Female","30-44","$25,000 - $49,999",3.5
"353","Chile","CHL","Female","30-44","$50,000 - $99,999",3.23076923076923
"354","Chile","CHL","Female","30-44",NA,3.5
"355","Chile","CHL","Female","45-60","$0 - $24,999",4
"356","Chile","CHL","Female","45-60","$100,000 - $149,999",3.33333333333333
"357","Chile","CHL","Female","45-60","$150,000+",3.5
"358","Chile","CHL","Female","45-60","$25,000 - $49,999",3
"359","Chile","CHL","Female","45-60","$50,000 - $99,999",3.27777777777778
"360","Chile","CHL","Female","45-60",NA,3.2
"361","Chile","CHL","Male","> 60","$0 - $24,999",3.5
"362","Chile","CHL","Male","> 60","$100,000 - $149,999",3.5
"363","Chile","CHL","Male","> 60","$150,000+",3.42857142857143
"364","Chile","CHL","Male","> 60","$25,000 - $49,999",3
"365","Chile","CHL","Male","> 60","$50,000 - $99,999",3.26666666666667
"366","Chile","CHL","Male","> 60",NA,3.5
"367","Chile","CHL","Male","18-29","$0 - $24,999",3.81818181818182
"368","Chile","CHL","Male","18-29","$100,000 - $149,999",3.5
"369","Chile","CHL","Male","18-29","$150,000+",3.4
"370","Chile","CHL","Male","18-29","$25,000 - $49,999",3.25
"371","Chile","CHL","Male","18-29","$50,000 - $99,999",3.625
"372","Chile","CHL","Male","18-29",NA,3.625
